,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
55,55.0,55.0,55.0,517.0,final_STARFIELD_H_alpha.fits,M82,R*,FINAL,2025-04-30T20:49:19.01,,2460796.367581134
56,56.0,56.0,56.0,86.0,final_M82_B*.fits,M82,R*,FINAL,2025-04-30T20:49:19.01,,2460796.367581134
57,57.0,57.0,57.0,415.0,final_STARFIELD_R*.fits,M82,R*,FINAL,2025-04-30T20:49:19.01,,2460796.367581134
58,58.0,58.0,58.0,372.0,final_M82_R*.fits,M82,R*,FINAL,2025-04-30T20:49:19.01,,2460796.367581134
59,59.0,59.0,59.0,420.0,reduced_M82_R*_45.fits,M82,R*,REDUCED,2025-04-30T20:49:19.01,,2460796.367581134
60,60.0,60.0,60.0,334.0,final_M82_H_alpha.fits,M82,R*,FINAL,2025-04-30T20:49:19.01,,2460796.367581134
61,61.0,61.0,61.0,274.0,LDST_250430-0002_R.fit,LDST_250430,R*,LIGHT,2025-04-30T20:49:19.01,,2460796.367581134
62,62.0,62.0,62.0,209.0,final_STARFIELD_B*.fits,M82,R*,FINAL,2025-04-30T20:49:19.01,,2460796.367581134
63,63.0,63.0,63.0,282.0,final_M82_G*.fits,M82,R*,FINAL,2025-04-30T20:49:19.01,,2460796.367581134
64,64.0,64.0,64.0,181.0,registered_M82_R*_184.fits,M82,R*,REGISTERED,2025-04-30T20:49:19.01,,2460796.367581134
65,65.0,65.0,65.0,279.0,registered_M82_G*_185.fits,M82,G*,REGISTERED,2025-04-30T20:50:23.38,,2460796.3683261573
66,66.0,66.0,66.0,101.0,reduced_M82_G*_51.fits,M82,G*,REDUCED,2025-04-30T20:50:23.38,,2460796.3683261573
67,67.0,67.0,67.0,312.0,LDST_250430-0002_G.fit,LDST_250430,G*,LIGHT,2025-04-30T20:50:23.38,,2460796.3683261573
68,68.0,68.0,68.0,92.0,LDST_250430-0002_B.fit,LDST_250430,B*,LIGHT,2025-04-30T20:51:27.67,,2460796.3690702547
69,69.0,69.0,69.0,3.0,reduced_M82_B*_52.fits,M82,B*,REDUCED,2025-04-30T20:51:27.67,,2460796.3690702547
70,70.0,70.0,70.0,26.0,registered_M82_B*_186.fits,M82,B*,REGISTERED,2025-04-30T20:51:27.67,,2460796.3690702547
71,71.0,71.0,71.0,300.0,registered_M82_H_alpha_187.fits,M82,H_alpha,REGISTERED,2025-04-30T20:52:31.87,,2460796.36981331
72,72.0,72.0,72.0,358.0,reduced_M82_H_alpha_53.fits,M82,H_alpha,REDUCED,2025-04-30T20:52:31.87,,2460796.36981331
73,73.0,73.0,73.0,523.0,LDST_250430-0002_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T20:52:31.87,,2460796.36981331
74,74.0,74.0,74.0,286.0,reduced_M82_R*_54.fits,M82,R*,REDUCED,2025-04-30T20:53:37.69,,2460796.370575116
75,75.0,75.0,75.0,339.0,LDST_250430-0003_R.fit,LDST_250430,R*,LIGHT,2025-04-30T20:53:37.69,,2460796.370575116
76,76.0,76.0,76.0,230.0,registered_M82_R*_188.fits,M82,R*,REGISTERED,2025-04-30T20:53:37.69,,2460796.370575116
77,77.0,77.0,77.0,124.0,reduced_M82_G*_55.fits,M82,G*,REDUCED,2025-04-30T20:54:42.27,,2460796.371322569
78,78.0,78.0,78.0,363.0,LDST_250430-0003_G.fit,LDST_250430,G*,LIGHT,2025-04-30T20:54:42.27,,2460796.371322569
79,79.0,79.0,79.0,395.0,registered_M82_G*_189.fits,M82,G*,REGISTERED,2025-04-30T20:54:42.27,,2460796.371322569
80,80.0,80.0,80.0,23.0,LDST_250430-0003_B.fit,LDST_250430,B*,LIGHT,2025-04-30T20:55:46.63,,2460796.372067477
81,81.0,81.0,81.0,513.0,registered_M82_B*_190.fits,M82,B*,REGISTERED,2025-04-30T20:55:46.63,,2460796.372067477
82,82.0,82.0,82.0,46.0,reduced_M82_B*_56.fits,M82,B*,REDUCED,2025-04-30T20:55:46.63,,2460796.372067477
83,83.0,83.0,83.0,385.0,reduced_M82_H_alpha_57.fits,M82,H_alpha,REDUCED,2025-04-30T20:56:50.77,,2460796.372809838
84,84.0,84.0,84.0,30.0,LDST_250430-0003_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T20:56:50.77,,2460796.372809838
85,85.0,85.0,85.0,265.0,registered_M82_H_alpha_191.fits,M82,H_alpha,REGISTERED,2025-04-30T20:56:50.77,,2460796.372809838
86,86.0,86.0,86.0,340.0,registered_M82_R*_192.fits,M82,R*,REGISTERED,2025-04-30T20:57:56.60,,2460796.373571759
87,87.0,87.0,87.0,170.0,LDST_250430-0004_R.fit,LDST_250430,R*,LIGHT,2025-04-30T20:57:56.60,,2460796.373571759
88,88.0,88.0,88.0,391.0,reduced_M82_R*_58.fits,M82,R*,REDUCED,2025-04-30T20:57:56.60,,2460796.373571759
89,89.0,89.0,89.0,253.0,registered_M82_G*_193.fits,M82,G*,REGISTERED,2025-04-30T20:59:00.89,,2460796.3743158565
90,90.0,90.0,90.0,5.0,reduced_M82_G*_59.fits,M82,G*,REDUCED,2025-04-30T20:59:00.89,,2460796.3743158565
91,91.0,91.0,91.0,201.0,LDST_250430-0004_G.fit,LDST_250430,G*,LIGHT,2025-04-30T20:59:00.89,,2460796.3743158565
92,92.0,92.0,92.0,348.0,reduced_M82_B*_60.fits,M82,B*,REDUCED,2025-04-30T21:00:05.27,,2460796.375060996
93,93.0,93.0,93.0,490.0,registered_M82_B*_194.fits,M82,B*,REGISTERED,2025-04-30T21:00:05.27,,2460796.375060996
94,94.0,94.0,94.0,475.0,LDST_250430-0004_B.fit,LDST_250430,B*,LIGHT,2025-04-30T21:00:05.27,,2460796.375060996
95,95.0,95.0,95.0,10.0,reduced_M82_H_alpha_61.fits,M82,H_alpha,REDUCED,2025-04-30T21:01:09.48,,2460796.375804167
96,96.0,96.0,96.0,227.0,registered_M82_H_alpha_195.fits,M82,H_alpha,REGISTERED,2025-04-30T21:01:09.48,,2460796.375804167
97,97.0,97.0,97.0,69.0,LDST_250430-0004_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T21:01:09.48,,2460796.375804167
98,98.0,98.0,98.0,235.0,LDST_250430-0005_R.fit,LDST_250430,R*,LIGHT,2025-04-30T21:02:15.39,,2460796.376567014
99,99.0,99.0,99.0,381.0,registered_M82_R*_196.fits,M82,R*,REGISTERED,2025-04-30T21:02:15.39,,2460796.376567014
100,100.0,100.0,100.0,105.0,reduced_M82_R*_62.fits,M82,R*,REDUCED,2025-04-30T21:02:15.39,,2460796.376567014
101,101.0,101.0,101.0,214.0,registered_M82_G*_197.fits,M82,G*,REGISTERED,2025-04-30T21:03:19.69,,2460796.377311227
102,102.0,102.0,102.0,301.0,reduced_M82_G*_63.fits,M82,G*,REDUCED,2025-04-30T21:03:19.69,,2460796.377311227
103,103.0,103.0,103.0,267.0,LDST_250430-0005_G.fit,LDST_250430,G*,LIGHT,2025-04-30T21:03:19.69,,2460796.377311227
104,104.0,104.0,104.0,402.0,LDST_250430-0005_B.fit,LDST_250430,B*,LIGHT,2025-04-30T21:04:24.00,,2460796.378055556
105,105.0,105.0,105.0,370.0,reduced_M82_B*_64.fits,M82,B*,REDUCED,2025-04-30T21:04:24.00,,2460796.378055556
106,106.0,106.0,106.0,445.0,registered_M82_B*_198.fits,M82,B*,REGISTERED,2025-04-30T21:04:24.00,,2460796.378055556
107,107.0,107.0,107.0,432.0,LDST_250430-0005_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T21:05:28.19,,2460796.3787984955
108,108.0,108.0,108.0,184.0,registered_M82_H_alpha_199.fits,M82,H_alpha,REGISTERED,2025-04-30T21:05:28.19,,2460796.3787984955
